Year, (16) Jun-Jul SST, (10) Jun-Jul SLP, (1) Jun-Jul Nino 3, (3) Feb 200MB U, (4) Feb-Mar 200MB V, (5) Feb SLP, (14) Feb SST, (12) Nov 500MB Geo Ht, (6) Oct-Nov SLP, (7) Sep 500MB Geo Ht, (13) Jul 50MB U, (11) Sep-Nov SLP, (8) Nov SLP, (2) May SST, (15) Apr-May SST, (9) Mar-Apr SLP, H, IH, NS
1950.0, 22.206, 1015.44, -0.575, 6.317, -0.96, 1015.604, 13.86, 5277.4, 1007.67, 5770.3, -9.7, 1014.61, 1014.12, 25.841, 17.113, 1010.927, 11.0, 8.0, 13.0
1951.0, 22.921, 1015.604, 0.525, 9.222, 1.07, 1014.971, 13.71, 5242.7, 1010.67, 5763.6, -8.3, 1013.98, 1011.94, 27.013, 17.077, 1010.801, 8.0, 5.0, 10.0
1952.0, 22.77, 1015.846, -0.54, 7.348, 3.97, 1014.073, 14.2, 5221.4, 1009.77, 5752.9, -4.2, 1014.46, 1013.69, 26.785, 17.151, 1011.254, 6.0, 3.0, 7.0
1953.0, 22.808, 1016.125, 0.495, 7.254, 2.31, 1013.756, 14.43, 5255.1, 1010.12, 5791.0, -8.7, 1014.9, 1013.4, 27.315, 17.573, 1011.722, 6.0, 4.0, 14.0
1954.0, 21.843, 1015.498, -1.08, 6.613, 3.75, 1015.831, 14.05, 5167.2, 1004.21, 5774.6, -2.2, 1014.72, 1014.45, 26.154, 16.743, 1011.911, 8.0, 2.0, 11.0
1955.0, 22.928, 1015.184, -0.86, 8.303, 0.72, 1015.227, 14.25, 5218.9, 1005.61, 5759.1, -11.1, 1014.56, 1014.29, 26.286, 17.566, 1010.713, 9.0, 6.0, 12.0
1956.0, 21.815, 1016.066, -0.495, 12.578, 3.18, 1013.942, 14.07, 5257.5, 1010.03, 5758.8, -1.5, 1014.21, 1013.47, 26.709, 16.782, 1011.46, 4.0, 2.0, 8.0
1957.0, 22.33, 1015.769, 0.925, 14.35, 1.88, 1012.502, 13.79, 5218.5, 1010.8, 5764.6, -9.9, 1015.17, 1013.09, 27.55, 16.908, 1012.003, 3.0, 2.0, 8.0
1958.0, 22.294, 1015.712, 0.185, 4.823, 1.86, 1015.575, 14.18, 5260.7, 1010.5, 5757.0, -3.9, 1015.05, 1012.25, 27.305, 17.128, 1010.79, 7.0, 5.0, 10.0
1959.0, 22.173, 1016.13, -0.485, 12.464, 2.29, 1014.244, 13.98, 5218.3, 1008.91, 5735.5, -4.1, 1014.76, 1012.33, 27.218, 16.956, 1011.382, 7.0, 2.0, 11.0
1960.0, 22.624, 1015.604, -0.315, 6.223, 3.94, 1014.595, 13.73, 5263.3, 1011.79, 5722.3, -10.2, 1014.62, 1012.88, 26.826, 17.221, 1011.203, 4.0, 2.0, 7.0
1961.0, 22.509, 1015.542, -0.255, 8.468, 1.61, 1015.191, 13.79, 5278.6, 1007.0, 5777.7, -8.9, 1014.81, 1014.0, 27.19, 17.846, 1010.855, 8.0, 7.0, 11.0
1962.0, 22.324, 1015.904, -0.345, 5.59, 2.89, 1013.594, 13.81, 5210.1, 1010.94, 5694.6, -0.2, 1014.89, 1013.53, 26.492, 17.027, 1010.999, 3.0, 1.0, 5.0
1963.0, 22.225, 1015.589, 0.575, -0.804, 2.82, 1015.726, 13.5, 5231.9, 1005.12, 5758.7, -3.8, 1015.03, 1014.1, 27.411, 16.782, 1010.881, 7.0, 2.0, 9.0
1964.0, 22.021, 1015.135, -1.015, 3.425, 0.52, 1013.989, 13.61, 5186.1, 1004.92, 5806.0, -16.4, 1014.76, 1013.61, 25.879, 16.824, 1011.174, 6.0, 6.0, 12.0
1965.0, 22.012, 1016.535, 0.99, 8.872, 3.43, 1012.907, 13.74, 5184.1, 1010.57, 5729.1, 1.5, 1015.06, 1013.03, 27.545, 17.15, 1011.594, 4.0, 1.0, 6.0
1966.0, 22.043, 1015.577, -0.13, 9.028, 4.06, 1014.863, 13.67, 5339.4, 1008.49, 5684.8, -7.3, 1014.92, 1012.33, 26.685, 17.074, 1010.769, 7.0, 3.0, 11.0
1967.0, 22.173, 1016.076, -0.14, 4.356, 1.18, 1015.518, 13.68, 5164.6, 1012.88, 5780.2, -3.5, 1014.95, 1012.13, 26.639, 16.941, 1011.363, 6.0, 1.0, 8.0
1968.0, 22.114, 1016.539, 0.05, 4.54, 5.55, 1013.791, 13.73, 5141.2, 1009.61, 5779.0, 0.4, 1015.36, 1012.8, 26.493, 16.802, 1012.037, 4.0, 0.0, 7.0
1969.0, 21.861, 1016.048, 0.47, 8.097, 1.65, 1013.677, 13.81, 5292.6, 1004.76, 5730.4, -11.8, 1014.78, 1013.6, 27.874, 16.508, 1011.284, 12.0, 5.0, 17.0
1970.0, 21.74, 1016.543, -1.355, 14.502, 2.56, 1013.434, 13.46, 5149.5, 1008.36, 5758.2, 1.5, 1014.23, 1012.97, 26.546, 16.681, 1011.586, 5.0, 2.0, 10.0
1971.0, 21.422, 1016.355, -0.565, 6.946, 4.78, 1015.057, 13.32, 5213.5, 1012.93, 5722.8, -9.0, 1014.96, 1013.6, 26.285, 16.036, 1011.224, 6.0, 1.0, 13.0
1972.0, 21.481, 1016.614, 1.245, 11.437, 3.51, 1013.632, 13.16, 5126.6, 1011.09, 5716.7, 0.1, 1014.49, 1013.91, 27.686, 16.146, 1011.683, 3.0, 0.0, 4.0
1973.0, 21.801, 1015.915, -1.12, 11.992, 4.03, 1014.121, 13.31, 5182.3, 1012.03, 5702.7, -6.1, 1015.05, 1013.63, 26.184, 16.606, 1011.661, 4.0, 1.0, 7.0
1974.0, 21.566, 1015.919, -0.15, 4.573, 3.66, 1015.557, 13.31, 5179.0, 1011.96, 5743.6, 1.5, 1015.01, 1013.45, 26.773, 16.26, 1011.828, 4.0, 2.0, 7.0
1975.0, 22.08, 1015.951, -0.97, 9.181, -0.03, 1015.368, 13.41, 5221.5, 1008.14, 5743.9, -4.6, 1015.84, 1013.03, 26.13, 16.576, 1011.887, 6.0, 3.0, 8.0
1976.0, 22.378, 1017.321, 0.58, 2.896, 2.99, 1014.932, 13.3, 5196.4, 1007.88, 5769.5, -5.1, 1015.67, 1014.1, 26.825, 16.224, 1011.714, 6.0, 2.0, 8.0
1977.0, 22.267, 1016.566, -0.0050, 12.164, 2.74, 1014.225, 13.07, 5178.4, 1010.13, 5774.9, 2.9, 1015.37, 1012.86, 26.944, 16.818, 1011.905, 5.0, 1.0, 6.0
1978.0, 21.659, 1016.351, -0.705, 10.707, -0.46, 1013.401, 13.45, 5170.2, 1007.51, 5732.1, -12.2, 1015.04, 1012.96, 26.483, 16.509, 1012.287, 5.0, 2.0, 11.0
1979.0, 22.111, 1016.949, 0.13, 6.884, 3.6, 1014.985, 13.45, 5069.9, 1013.1, 5745.2, 3.8, 1015.25, 1012.82, 27.165, 16.657, 1011.869, 5.0, 2.0, 8.0
1980.0, 22.7, 1016.691, 0.25, 4.201, 4.31, 1012.987, 13.86, 5157.5, 1008.72, 5790.5, -6.1, 1014.07, 1012.69, 27.332, 17.468, 1011.91, 9.0, 2.0, 11.0
1981.0, 22.261, 1016.291, -0.32, 15.612, 2.03, 1014.261, 13.97, 5214.2, 1007.01, 5751.1, -0.1, 1015.42, 1013.94, 26.864, 16.899, 1011.935, 7.0, 3.0, 11.0
1982.0, 21.838, 1017.234, 0.975, 10.251, 3.56, 1014.542, 13.97, 5198.6, 1008.35, 5772.5, 0.6, 1015.27, 1013.59, 27.824, 16.781, 1011.991, 2.0, 1.0, 5.0
1983.0, 21.701, 1016.335, 1.41, 16.21, 3.28, 1012.654, 13.69, 5143.8, 1010.58, 5753.6, -14.3, 1015.57, 1011.79, 29.026, 16.432, 1011.954, 3.0, 1.0, 4.0
1984.0, 21.498, 1016.014, -0.805, 8.658, 1.33, 1013.972, 13.77, 5205.3, 1006.85, 5744.3, 4.2, 1015.55, 1014.53, 26.632, 16.835, 1011.479, 5.0, 1.0, 12.0
1985.0, 22.205, 1016.701, -0.805, 7.105, 1.57, 1014.533, 13.62, 5245.0, 1008.01, 5730.7, -12.8, 1015.95, 1014.37, 26.272, 16.462, 1011.719, 7.0, 3.0, 11.0
1986.0, 21.798, 1017.396, 0.025, 6.934, 5.15, 1013.76, 13.39, 5235.9, 1015.62, 5705.6, 4.1, 1015.14, 1012.59, 26.822, 16.221, 1012.254, 4.0, 0.0, 6.0
1987.0, 22.59, 1016.363, 1.415, 16.148, 0.5, 1012.079, 13.88, 5145.4, 1011.66, 5699.3, 1.8, 1016.32, 1012.14, 28.268, 16.98, 1011.947, 3.0, 1.0, 7.0
1988.0, 22.308, 1016.218, -1.89, 10.211, -2.81, 1013.349, 13.43, 5229.7, 1009.8, 5781.7, -14.9, 1015.68, 1013.61, 25.624, 17.035, 1011.842, 5.0, 3.0, 12.0
1989.0, 23.002, 1016.524, -0.295, 6.838, 3.26, 1014.157, 14.12, 5233.2, 1007.16, 5756.1, 3.2, 1015.17, 1014.34, 26.569, 16.729, 1011.55, 7.0, 2.0, 11.0
1990.0, 22.535, 1016.561, -0.025, 12.458, 2.65, 1013.83, 13.41, 5251.8, 1011.2, 5760.5, -4.6, 1015.08, 1012.91, 27.465, 16.743, 1011.867, 8.0, 1.0, 14.0
1991.0, 22.445, 1016.776, 0.98, 10.849, 2.88, 1013.567, 13.49, 5233.6, 1011.9, 5802.2, 3.9, 1015.61, 1012.27, 27.689, 16.475, 1011.948, 4.0, 2.0, 8.0
1992.0, 21.878, 1017.152, 0.115, 10.158, 3.91, 1013.356, 14.14, 5160.0, 1012.11, 5779.5, -1.6, 1016.23, 1012.72, 28.442, 16.971, 1012.255, 4.0, 1.0, 6.0
1993.0, 21.663, 1016.792, 0.465, 9.025, 4.08, 1013.026, 14.1, 5169.3, 1009.54, 5729.7, -13.4, 1015.4, 1012.69, 28.273, 16.569, 1012.338, 4.0, 1.0, 8.0
1994.0, 21.651, 1016.872, -0.13, 7.799, 3.56, 1015.09, 13.34, 5170.6, 1014.22, 5746.2, 4.9, 1015.8, 1013.21, 27.132, 16.483, 1012.26, 3.0, 0.0, 7.0
1995.0, 23.164, 1015.401, -0.175, 5.98, -1.29, 1014.574, 14.23, 5213.0, 1009.84, 5785.5, -15.8, 1014.87, 1013.51, 26.6, 17.78, 1011.573, 11.0, 5.0, 19.0
1996.0, 21.872, 1016.576, -0.36, 5.427, 2.5, 1015.013, 13.59, 5329.0, 1009.83, 5776.2, 6.9, 1014.51, 1013.4, 26.524, 16.771, 1011.421, 9.0, 6.0, 13.0
1997.0, 22.183, 1016.678, 2.095, 12.553, 5.22, 1014.54, 13.96, 5176.7, 1012.61, 5722.8, -11.0, 1014.8, 1012.47, 28.245, 17.592, 1012.528, 3.0, 1.0, 7.0
1998.0, 22.459, 1016.229, -0.36, 10.655, -0.47, 1015.431, 14.12, 5276.9, 1007.65, 5780.1, 7.3, 1014.29, 1013.77, 28.585, 16.956, 1011.628, 10.0, 3.0, 14.0
1999.0, 22.321, 1015.834, -0.755, 5.639, 1.6, 1015.537, 14.49, 5272.2, 1008.11, 5778.7, -13.0, 1014.39, 1014.43, 26.683, 17.356, 1011.446, 8.0, 5.0, 12.0
2000.0, 21.886, 1015.899, -0.495, 2.131, 4.82, 1016.137, 14.28, 5175.9, 1008.15, 5744.2, 6.8, 1014.78, 1014.22, 27.026, 16.73, 1011.135, 8.0, 3.0, 14.0
2001.0, 22.534, 1016.124, -0.085, 14.256, 3.22, 1014.124, 14.08, 5285.9, 1010.75, 5753.7, 0.6, 1015.07, 1013.3, 27.081, 17.008, 1012.144, 9.0, 4.0, 15.0
2002.0, 21.738, 1017.034, 0.57, 11.727, 0.77, 1013.662, 14.0, 5119.1, 1007.81, 5786.1, -11.4, 1014.61, 1013.25, 27.36, 16.746, 1011.711, 4.0, 2.0, 12.0
2003.0, 22.854, 1016.273, -0.185, 10.846, 3.11, 1014.545, 14.0, 5302.9, 1008.66, 5746.4, 6.0, 1014.25, 1013.08, 26.415, 16.871, 1012.211, 7.0, 3.0, 16.0
2004.0, 22.919, 1016.777, -0.14, 6.784, 3.43, 1013.914, 14.65, 5246.7, 1012.0, 5763.9, 6.5, 1014.62, 1013.22, 26.895, 16.881, 1012.16, 9.0, 6.0, 14.0
2005.0, 22.402, 1015.708, 0.38, 8.962, 3.89, 1012.374, 14.26, 5209.7, 1010.64, 5744.1, 6.5, 1014.67, 1013.46, 27.6, 17.084, 1011.915, 15.0, 7.0, 27.0
2006.0, 22.316, 1016.432, 0.16, 10.9, 3.0, 1012.984, 14.17, 5243.9, 1008.54, 5754.6, -8.5, 1014.28, 1013.53, 27.22, 17.145, 1011.72, 5.0, 2.0, 10.0
